name,region,address,website,phone,rating,total_ratings,lat,lng,google_maps_url
200bar Dive Shop,"Anilao, Batangas","Bauan - Mabini Rd, Mabini",http://200bardiveshopanilao.com/,0917 133 0613,4.9,28,13.755796,120.9211764,https://maps.google.com/?cid=8226326482535266235
Ivan's Dive Tour,"Anilao, Batangas","Lot 13 Block 1, Barangay, New Land Subdivision, Mabini",https://ivansdivetour.com/,0918 668 6003,5,16,13.7523596,120.9390171,https://maps.google.com/?cid=11986979472535604644
Deep Outdoors Dive Shop,"Anilao, Batangas","PVWX+JGV, Mabini",,,5,1,13.7466122,120.8987833,https://maps.google.com/?cid=10725282296503142840
Apnea Philippines,"Anilao, Batangas",Mabini,http://www.facebook.com/apnea.ph,0917 162 7373,5,11,13.756377,120.9160209,https://maps.google.com/?cid=12899597582419242703
Blue Ribbon Dive Resort,"Anilao, Batangas",National Road Ligaya Mabini Anilao,http://www.blueribbondivers.com/,0917 893 2719,4.4,194,13.7347265,120.8891457,https://maps.google.com/?cid=12446849627961097729
Agos Freediving,"Anilao, Batangas","131 National Rd, Mabini",,0918 456 5950,5,26,13.7574054,120.9274464,https://maps.google.com/?cid=14718839389030262944
Shark Dive Resort,"Anilao, Batangas","4202, Mabini",https://blog.naver.com/crom59,0915 600 0096,4.7,88,13.7345271,120.8890186,https://maps.google.com/?cid=4774341584447358567
Anilao Diving and Resorts,"Anilao, Batangas",Mabini,http://www.anilaodiving.com/,0923 644 9326,4.2,86,13.7627075,120.9277005,https://maps.google.com/?cid=6812174607521012239
Bubblemaker Anilao Dive and Beach Resort,"Anilao, Batangas","081, Mabini",http://www.bubblemakeranilao.com/,0969 028 2613,4.3,59,13.7559273,120.9211115,https://maps.google.com/?cid=17992175506933213188
Anilao Scuba Dive Center ASDC,"Anilao, Batangas","Batangas, Anilao, Mabini 4202",,,4.4,152,13.7564122,120.9162784,https://maps.google.com/?cid=758574971824257416
Saltitude Dive & Beach Resort,"Anilao, Batangas",Mabini,http://www.saltitude-anilao.com/,0927 422 0428,4.2,133,13.7560173,120.9182747,https://maps.google.com/?cid=16385920693439453858
Destino Beach Club Dive Resort And Hotel,"Anilao, Batangas",Bauan,https://www.facebook.com/destino.batangas.9?fb_dtsg_ag=AdyQo3uJaXCvk93zI03Xn-J0QUAONfkDKMbr5Gjd6xS0iw:AdxxLSfrhvd3hada9AxNaylKrkki4SZJ3kOdTmjpkaoxEg,0968 757 3616,4.4,93,13.7829785,120.9274163,https://maps.google.com/?cid=3799762798385721003
John's Diving Guest House,"Anilao, Batangas","042 National Rd, Mabini",https://www.facebook.com/profile.php?id=61557073633446,0931 037 7524,5,1,13.7563202,120.9226813,https://maps.google.com/?cid=8446121470834101326
Ocean Limits PH,"Anilao, Batangas","Coco Chelo Cabins, Anilao - Orense Rd, Mabini",,0977 767 1193,5,3,13.7558524,120.9216688,https://maps.google.com/?cid=321713121093254620
Tamarind Anilao Camp,"Anilao, Batangas","00 Sitio Sampalukan, Mabini",https://facebook.com/lifebelowsurfaceph,0917 795 8303,4.9,18,13.7565339,120.9238908,https://maps.google.com/?cid=17759388804221233555
Anilao Dive Shop,"Anilao, Batangas","QW2Q+XJ3, Mabini",,0918 668 6003,5,5,13.7523741,120.9390151,https://maps.google.com/?cid=8674302842292589414
